"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"PUSH-BUTTON_SMD";"PUSH-BUTTON_SMD";"S1, S2";"Push Button Switch";"";
"2";"100k";"R1206";"SM_1206";"R8, R19";"Resistor";"";
"10";"100n";"C1206";"SM_1206";"C1, C2, C3, C4, C5, C7, C18, C21, C23, C25";"Capacitor";"";
"1";"100u";"CPOLSIZE-D";"SM_SIZE-D";"C20";"Capacitor";"";
"3";"10k";"R1206";"SM_1206";"R14, R16, R17";"Resistor";"";
"4";"1k";"R1206";"SM_1206";"R2, R3, R12, R13";"Resistor";"";
"3";"1u";"C1206";"SM_1206";"C6, C19, C22";"Capacitor";"";
"1";"2468";"2468";"2468";"X3";"";"";
"6";"33k";"R1206";"SM_1206";"R1, R4, R9, R11, R15, R18";"Resistor";"";
"1";"3u3";"L_MOS6020";"SM_L_MOS6020";"L1";"Inductor";"";
"3";"4R7";"R1206";"SM_1206";"R6, R7, R20";"Resistor";"";
"2";"56k";"R1206";"SM_1206";"R5, R10";"Resistor";"";
"16";"APA102";"APA102";"SM_LED_PLCC6";"IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9, IC10, IC11, IC12, IC13, IC14, IC15, IC16, IC17";"";"";
"3";"BSS138";"BSS138";"SM_SOT23";"T1, T2, T4";"BSS138 NMOSFET 50V 0.2A 3E5 SOT23";"";
"1";"FDC6306P";"FDC6306P";"TSOP6";"T3";"";"";
"1";"MAX1765";"MAX1765";"SM_QSOP16";"IC18";"";"";
"1";"MMA8653FC";"MMA8653FC";"SM_DFN10";"IC20";"";"";
"1";"NUP2201";"NUP2201";"TSOP6";"IC19";"ESD Protection Diodes with Low";"";
"3";"RB160M-90";"RB160M-90";"SM_SOD123_POL";"D2, D3, D4";"Diode RB160M-90";"";
"1";"STM32F042F6P6";"STM32F042F6P6";"SM_TSSOP20";"IC1";"";"";
